grid_id,lon,lat,region,period,scenario,temp_mean_annual_c,precip_annual_mm,precip_max_daily_mm,consecutive_dry_days,heat_stress_days
0,-60.0,-18.0,mato_grosso,baseline,historical,26.637122685889494,1783.5195401391247,73.52660618283161,120.63157077745976,38.0
1,-59.75,-18.0,mato_grosso,baseline,historical,26.032007152191778,2139.8069461558766,108.26991628612947,133.56690866400822,34.0
2,-59.5,-18.0,mato_grosso,baseline,historical,26.837703038112906,2179.361942801411,78.87595842056905,119.64164988720222,43.0
3,-59.25,-18.0,mato_grosso,baseline,historical,26.923254122376047,1373.470905196628,107.08990050411136,144.34990844398715,35.0
4,-59.0,-18.0,mato_grosso,baseline,historical,25.622034165105774,1706.293367503239,93.57930782254398,108.45162026832425,36.0
5,-58.75,-18.0,mato_grosso,baseline,historical,25.914019221911957,2207.436328760178,78.14310694180327,86.79011986342226,37.0
6,-58.5,-18.0,mato_grosso,baseline,historical,26.55752818142528,1952.4237315597195,94.5938106119506,169.4243842028295,36.0
7,-58.25,-18.0,mato_grosso,baseline,historical,26.35769083344539,1858.578909443932,91.40899027692076,104.88415658643885,28.0
8,-58.0,-18.0,mato_grosso,baseline,historical,26.49243947912307,1734.694591969603,105.41765642004948,105.78894790705633,30.0
9,-57.75,-18.0,mato_grosso,baseline,historical,26.11613023259189,1684.8597222876763,74.03308924269963,118.35491697319539,35.0
10,-57.5,-18.0,mato_grosso,baseline,historical,26.895729088688274,1886.4657189270972,85.8241213356324,121.67952774134953,38.0
11,-57.25,-18.0,mato_grosso,baseline,historical,26.850006370943028,1724.287762504655,83.76968640790726,110.33290893779292,32.0
12,-57.0,-18.0,mato_grosso,baseline,historical,26.529713813902546,1787.2264136866668,99.0829628327957,119.56415257627478,30.0
13,-56.75,-18.0,mato_grosso,baseline,historical,27.007258543135613,1823.5796118345113,64.49641611111649,119.00594421429565,33.0
14,-56.5,-18.0,mato_grosso,baseline,historical,26.71037920401342,1596.5785414519503,105.33954096475712,124.37048317552018,26.0
15,-56.25,-18.0,mato_grosso,baseline,historical,26.113318391702542,1959.6388121644316,94.32657544340833,61.0628135253171,28.0
16,-56.0,-18.0,mato_grosso,baseline,historical,26.665937852837125,2674.273394524626,58.661498527341074,167.02190767519625,26.0
17,-55.75,-18.0,mato_grosso,baseline,historical,26.06850282962695,1266.9040082021775,109.16525650961,116.31779216163606,29.0
18,-55.5,-18.0,mato_grosso,baseline,historical,26.895302635588273,1897.2037572569939,129.68186161595463,134.51556548617464,30.0
19,-55.25,-18.0,mato_grosso,baseline,historical,26.477533340056187,1571.9429734143282,105.03667939098816,85.54746646164939,27.0
20,-55.0,-18.0,mato_grosso,baseline,historical,26.41681193640463,1973.220773255775,113.53969534452938,108.22499346876874,42.0
21,-54.75,-18.0,mato_grosso,baseline,historical,26.193581705018225,1813.9672419983583,86.70742763205176,103.19210334198964,30.0
22,-54.5,-18.0,mato_grosso,baseline,historical,27.050143602403313,2028.556432212739,51.7699016052298,156.74309411271364,30.0
23,-54.25,-18.0,mato_grosso,baseline,historical,26.430461733069038,2152.651972952634,48.1175909766495,105.35465982910293,33.0
24,-54.0,-18.0,mato_grosso,baseline,historical,26.3072524800266,1857.7263353304545,90.10164087735517,138.95199967350229,44.0
25,-53.75,-18.0,mato_grosso,baseline,historical,26.341539902280296,2139.6156865242533,73.1604238454004,103.73948868317012,36.0
26,-53.5,-18.0,mato_grosso,baseline,historical,26.739539133499008,1096.7106318633969,66.70847443345298,108.6845265086514,38.0
27,-53.25,-18.0,mato_grosso,baseline,historical,26.664449828963836,2277.135689374807,83.74506632062649,113.86124586998285,36.0
28,-53.0,-18.0,mato_grosso,baseline,historical,26.685729675218195,1912.518645567702,97.31170575722577,152.0961281707325,30.0
29,-52.75,-18.0,mato_grosso,baseline,historical,26.693869451353546,2123.3530067235547,55.94484906475706,72.75368352424704,38.0
30,-52.5,-18.0,mato_grosso,baseline,historical,27.463741420391706,1434.0372765475436,76.0224475943923,87.10841111813917,32.0
31,-52.25,-18.0,mato_grosso,baseline,historical,26.317113242626924,1550.7690355183993,115.1974136624063,71.31737085775458,41.0
32,-52.0,-18.0,mato_grosso,baseline,historical,26.26949077191781,1843.7814882434322,63.49423239557251,92.81244700596375,32.0
33,-51.75,-18.0,mato_grosso,baseline,historical,26.133802272288456,1794.888633198761,102.39522374329913,99.70999872019732,25.0
34,-51.5,-18.0,mato_grosso,baseline,historical,26.77719074015897,1884.9205764029969,75.30538476902012,79.63796864774028,31.0
35,-51.25,-18.0,mato_grosso,baseline,historical,27.0080375317244,2125.35454827899,95.91587519699905,101.64630633463328,35.0
36,-51.0,-18.0,mato_grosso,baseline,historical,26.448723644055306,1270.4339054091452,106.94655014405734,69.63213797666462,32.0
37,-50.75,-18.0,mato_grosso,baseline,historical,26.121929585366864,2092.1457215151927,99.82563533970043,94.55028190580796,33.0
38,-50.5,-18.0,mato_grosso,baseline,historical,26.128983452938943,1802.4845729873782,103.18319204427753,150.010509997755,43.0
39,-50.25,-18.0,mato_grosso,baseline,historical,26.792766754521114,1738.8654416626357,61.96812933184088,130.08970175702757,41.0
40,-60.0,-17.75,mato_grosso,baseline,historical,26.783182325759498,1361.2295322486355,107.27319413482597,124.30207641969781,38.0
41,-59.75,-17.75,mato_grosso,baseline,historical,26.693137369455286,1953.478703077162,67.9461377073036,94.54592070840675,34.0
42,-59.5,-17.75,mato_grosso,baseline,historical,26.149238580438038,1078.3317472547915,90.19083531143077,81.21326063926651,41.0
43,-59.25,-17.75,mato_grosso,baseline,historical,26.553190544097973,1997.0823059357162,90.16492373994454,91.1364827270276,31.0
44,-59.0,-17.75,mato_grosso,baseline,historical,26.501226562831278,1354.932351922205,94.70245117739162,118.53513894298423,33.0
45,-58.75,-17.75,mato_grosso,baseline,historical,26.547127817246004,1818.6014763493447,91.73913352120381,141.31980410855132,27.0
46,-58.5,-17.75,mato_grosso,baseline,historical,26.840860898794634,1766.8134513657265,68.12380042950554,142.17457004376763,43.0
47,-58.25,-17.75,mato_grosso,baseline,historical,26.549335945666556,2153.4255467522676,58.002651754085676,135.38069367746795,34.0
48,-58.0,-17.75,mato_grosso,baseline,historical,26.754229052100303,1748.9675518599354,102.44697359923538,101.176463013686,43.0
49,-57.75,-17.75,mato_grosso,baseline,historical,26.47912852998795,1594.3225342204028,88.71669155037831,120.22913042548431,41.0
50,-57.5,-17.75,mato_grosso,baseline,historical,26.578821678128442,1650.5832937727416,107.98753681915636,111.58182136445346,32.0
51,-57.25,-17.75,mato_grosso,baseline,historical,26.732797650345294,2184.4289331905015,84.10534131624264,114.58564052801586,43.0
52,-57.0,-17.75,mato_grosso,baseline,historical,25.792997829782898,1963.4531933183707,56.896712786460796,170.54358203937994,34.0
53,-56.75,-17.75,mato_grosso,baseline,historical,26.304865901357164,1686.8751081071541,104.32259362008213,75.5653786902943,41.0
54,-56.5,-17.75,mato_grosso,baseline,historical,26.237050254286192,1731.6301765747485,77.59258780677786,113.74846421732809,30.0
55,-56.25,-17.75,mato_grosso,baseline,historical,26.161222917008445,1332.4109753884684,91.84006914842043,149.90910729528852,26.0
56,-56.0,-17.75,mato_grosso,baseline,historical,26.32490393566594,1919.1063628195648,72.05081143040962,82.96809723954615,35.0
57,-55.75,-17.75,mato_grosso,baseline,historical,27.12144153877343,1274.6193902554628,117.88603420467382,103.52169898372836,26.0
58,-55.5,-17.75,mato_grosso,baseline,historical,26.059093946655988,2028.1030423147395,67.46870351633606,106.38942217619362,34.0
59,-55.25,-17.75,mato_grosso,baseline,historical,26.884443208284114,1841.1505803114824,78.25140491787651,114.033141564035,35.0
60,-55.0,-17.75,mato_grosso,baseline,historical,25.691426551490835,2518.6496424362795,87.14897405394633,79.71645562522917,28.0
61,-54.75,-17.75,mato_grosso,baseline,historical,26.29801968522435,1472.5234364468108,63.15635345826084,134.4975361238356,42.0
62,-54.5,-17.75,mato_grosso,baseline,historical,26.521956828015202,1771.7654752519127,91.6103905717519,136.27256667821322,37.0
63,-54.25,-17.75,mato_grosso,baseline,historical,26.712517997829625,2342.050412841021,117.2382095493498,132.3247677408333,41.0
64,-54.0,-17.75,mato_grosso,baseline,historical,26.768769909624734,2159.980994651527,75.19075678612579,97.85604275810758,41.0
65,-53.75,-17.75,mato_grosso,baseline,historical,26.805724204557915,1593.7004870901326,92.9028563806345,121.778154385067,34.0
66,-53.5,-17.75,mato_grosso,baseline,historical,26.29179166620615,1869.7543310761369,30.01129227922889,97.12937862615743,32.0
67,-53.25,-17.75,mato_grosso,baseline,historical,26.240659642018894,1803.1639094886286,84.22141599030319,111.3004680960968,27.0
68,-53.0,-17.75,mato_grosso,baseline,historical,26.83480709528367,1887.1508627823496,78.73915428147589,173.45208279465655,32.0
69,-52.75,-17.75,mato_grosso,baseline,historical,26.362631002521223,1592.9599717686535,68.6300479517923,122.007769055291,30.0
70,-52.5,-17.75,mato_grosso,baseline,historical,25.874659103215883,1775.7679817538822,106.62900939257064,89.92722021570528,36.0
71,-52.25,-17.75,mato_grosso,baseline,historical,25.938738702416384,1323.1483899810885,78.47512636752344,124.12376813198246,35.0
