grid_id,year,annual_max_precip_mm
0,1985,58.079044361649935
0,1986,85.77679296485684
0,1987,59.43111654427135
0,1988,83.35932843619
0,1989,71.95437167557932
0,1990,80.20027035372517
0,1991,60.678559739417246
0,1992,69.90546325793291
0,1993,57.91131217311539
0,1994,94.62699758845291
0,1995,68.72525432292488
0,1996,66.64929790993006
0,1997,98.80453729688189
0,1998,59.08755653826172
0,1999,71.00538602757484
0,2000,85.35111686999707
0,2001,73.98595691620919
0,2002,90.9650081231746
0,2003,77.03317082208007
0,2004,66.49040734429005
0,2005,90.6726915945854
0,2006,114.34163257739846
0,2007,122.27304449803567
0,2008,63.669378132015936
0,2009,63.06190081408561
0,2010,77.26541743707
0,2011,62.48592433136342
0,2012,75.05714637636395
0,2013,75.0547847860769
0,2014,51.01575062291089
1,1985,107.18542386862968
1,1986,68.2039124527455
1,1987,167.415623908377
1,1988,100.98759914256067
1,1989,88.05889984120104
1,1990,161.66959309885698
1,1991,88.02754828263197
1,1992,120.57852195364713
1,1993,152.2649425043526
1,1994,114.65985176216162
1,1995,85.00335319541608
1,1996,120.69212889888855
1,1997,124.34846346113905
1,1998,81.65239946321034
1,1999,162.87714594510922
1,2000,115.5752853577779
1,2001,132.57058821298122
1,2002,122.22256396690463
1,2003,128.97997292445365
1,2004,97.04851520116092
1,2005,154.37505628125874
1,2006,208.32710854169716
1,2007,89.71296907113555
1,2008,94.87390840553935
1,2009,108.81550805486121
1,2010,183.00855028555637
1,2011,139.1270923927426
1,2012,113.91037369026597
1,2013,94.4259656827282
1,2014,114.3538816055067
2,1985,125.62982607947228
2,1986,148.14768777104587
2,1987,69.58091248115835
2,1988,64.98755289978277
2,1989,136.12609840469398
2,1990,51.559274502678804
2,1991,73.45839072054183
2,1992,78.91588238850022
2,1993,110.48489328299615
2,1994,75.98409050827243
2,1995,86.90549871510194
2,1996,137.0405901173278
2,1997,109.49355022369625
2,1998,132.43853294744488
2,1999,169.65135491358666
2,2000,133.2055114569278
2,2001,88.78870211333918
2,2002,115.66597618905118
2,2003,120.35976815277985
2,2004,73.96419093287702
2,2005,125.79714663916619
2,2006,98.71194228377968
2,2007,101.70105615324448
2,2008,99.74636160858815
2,2009,104.42799469024239
2,2010,75.44882362006902
2,2011,63.02907529002471
2,2012,127.45999577206948
2,2013,74.91647816999857
2,2014,91.89574239766509
3,1985,115.93611650691739
3,1986,109.27619856235525
3,1987,216.27679553859292
3,1988,143.89408210580305
3,1989,138.7835924340427
3,1990,163.46872333266
3,1991,209.5147978353736
3,1992,82.68516179908227
3,1993,223.56328509217568
3,1994,85.49715518896726
3,1995,110.68971939653632
3,1996,100.72217309053246
3,1997,96.10028754728825
3,1998,93.84936110029396
3,1999,193.03429615323603
3,2000,110.96965038953745
3,2001,177.04178290013124
3,2002,82.78548665998579
3,2003,99.50682846272618
3,2004,165.1299991578141
3,2005,76.23047494484797
3,2006,107.2939859357025
3,2007,52.428347170429184
3,2008,117.01657192653124
3,2009,86.94009198639837
3,2010,117.1075112728781
3,2011,87.63545648575206
3,2012,83.64186550926377
3,2013,139.06848722449473
3,2014,102.95418745354976
4,1985,113.09647424653932
4,1986,75.73120409728926
4,1987,120.44644244656055
4,1988,111.65056417758461
4,1989,102.9980286269049
4,1990,59.19906452232512
4,1991,101.98555154207632
4,1992,140.4898058713801
4,1993,121.28600244785484
4,1994,106.04083097892138
4,1995,98.81697053340777
4,1996,67.74419661181564
